Nve,>EDO40921.1 predicted protein [Nematostella vectensis],profilin_Nematostella,,
Hsa,>AAH95444.1 Profilin 2 [Homo sapiens],profilin2_Homo,,
PICCOLO,,,,
Hsa,>sp|Q9Y6V0.5|PCLO_HUMAN RecName: Full=Protein piccolo; AltName: Full=Aczonin,piccolo_Homo,,
CSP_(DNA_J),,,,
Aqu,>XP_003386198.1 PREDICTED: dnaJ homolog subfamily C member 5-like [Amphimedon queenslandica],DNAJC5_Amphimedon,,
Tad,,,,
Nve,,,,
Hsa,>XP_011527351.1 dnaJ homolog subfamily C member 5 isoform X1 [Homo sapiens],DNAJC5_Homo,,
SYNAPTOGYRIN,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hsa - 1a,>CAA05322.1 synaptogyrin 1a [Homo sapiens],synaptogyrin1_Homo,,
Hsa - 3,>CAA05326.2 synaptogyrin 3 [Homo sapiens],synaptogyrin3_Homo,,
NEUREXIN,,,,
Pba,>AEX15559.1 neurexin [Pleurobrachia bachei],neurexin_Pleurobrachia,,
Hsa,>sp|Q9ULB1.1|NRX1A_HUMAN RecName: Full=Neurexin-1; AltName: Full=Neurexin I-alpha; AltName: Full=Neurexin-1-alpha; Flags: Precursor,neurexin_Homo,,
SYNAPHIN,,,,
Tad,>XP_002116780.1 complexin [Trichoplax adhaerens],,,
Hsa,>sp|Q95PA1.1|CPLX_DORPE RecName: Full=Complexin; AltName: Full=Synaphin; Flags: Precursor,,,
SYNTAPHILIN,,,,
Hsa,>AAF29901.1 syntaphilin [Homo sapiens],,,
GOLSYN/Syntabulin,,,,
Hsa,>sp|Q9NX95.2|SYBU_HUMAN RecName: Full=Syntabulin; AltName: Full=Golgi-localized syntaphilin-related protein; AltName: Full=Syntaxin-1-binding protein,,,
BASSOON,,,,
Hsa,>NP_003449.2 protein bassoon [Homo sapiens],,,
SNAP29,,,,
Hsa,>CAG30468.1 SNAP29 [Homo sapiens],,,
Amisyn,,,,
Hsa,>AAM46624.1 amisyn [Homo sapiens],,,
DLG,,,,
Mbr,,,,
Pba,,,,
Mle,,,,
Aqu,,,,
Oca,,,,
Tad,,,,
Hsa,>ABQ66269.1 DLG1 [Homo sapiens],,,
HOMER,,,,
~ C,">KJE91586.1 hypothetical protein, variant 1 [Capsaspora owczarzaki ATCC 30864]",,,
Sro,,,,
Mbr,">EDQ91787.1 predicted protein, partial [Monosiga brevicollis MX1]",,,
Pba,,,,
Aqu,>XP_019851701.1 PREDICTED: homer protein homolog 2-like isoform X1 [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD46278.1 Homer protein-like protein 1 [Trichoplax sp. H2],,,
Nve,>XP_001637685.1 predicted protein [Nematostella vectensis],,,
Hma,,,,
Hsa,>NP_004263.1 homer protein homolog 1 isoform 1 [Homo sapiens],,,
SYNGAP,,,,
Pba,,,,
Mle,,,,
Aqu,,,,
Nve,,,,
Hma,,,,
Hsa,>AQY77139.1 SYNGAP1 [Homo sapiens],,,
SPAR,,,,
Sro,,,,
Pba,,,,
Mle,,,,
Aqu,>XP_019853650.1 PREDICTED: signal-induced proliferation-associated 1-like protein 1 [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD42154.1 Signal-induced proliferation-associated 1-like protein 1 [Trichoplax sp. H2],,,
Nve,,,,
Hma,,,,
Hsa,>NP_001341214.1 signal-induced proliferation-associated 1-like protein 1 isoform 1 [Homo sapiens],,,
S-SCAM,,,,
Pba,,,,
Aqu,">XP_019864486.1 PREDICTED: membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2-like [Amphimedon queenslandica]",,,
Tad,,,,
Nve,,,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CDG69080.1,,,
Hsa,">NP_036433.2 membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 isoform 1 [Homo sapiens]",,,
LIN-7,,,,
Pba,,,,
Mle,,,,
Aqu,>XP_019856715.1 PREDICTED: protein lin-7 homolog C-like [Amphimedon queenslandica],,,
Oca,,,,
Tad,,,,
Nve,,,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CDG67055.1,,,
Hsa,>AAD48500.1 LIN-7 homolog 1 [Homo sapiens],,,
CASK,,,,
Pba,,,,
Tad,>RDD46096.1 Peripheral plasma membrane protein CASK [Trichoplax sp. H2],,,
Nve,>XP_001631427.1 predicted protein [Nematostella vectensis],,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/873757947,,,
Hsa,>NP_003679.2 peripheral plasma membrane protein CASK isoform 1 [Homo sapiens],,,
SHANK,,,,
C,,,,
Sro,,,,
Mbr,,,,
Pba,,,,
Mle,,,,
Aqu,>XP_019853185.1 PREDICTED: SH3 and multiple ankyrin repeat domains protein 1-like [Amphimedon queenslandica],,,
Oca,,,,
Nve,,,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/XP_012563379.1?report=fasta,,,
Hsa -1,>sp|Q9Y566.2|SHAN1_HUMAN RecName: Full=SH3 and multiple ankyrin repeat domains protein 1; Short=Shank1; AltName: Full=Somatostatin receptor-interacting protein; Short=SSTR-interacting protein; Short=SSTRIP,,,
Hsa - 2,>sp|Q9UPX8.3|SHAN2_HUMAN RecName: Full=SH3 and multiple ankyrin repeat domains protein 2; Short=Shank2; AltName: Full=Cortactin-binding protein 1; Short=CortBP1; AltName: Full=Proline-rich synapse-associated protein 1,,,
Hsa - 3,>sp|Q9BYB0.3|SHAN3_HUMAN RecName: Full=SH3 and multiple ankyrin repeat domains protein 3; Short=Shank3; AltName: Full=Proline-rich synapse-associated protein 2; Short=ProSAP2,,,
ERBB-R,,,,
Pba,,,,
Aqu,,,,
Oca,,,,
Nve,,,,
Hsa,>AAI43750.1 ERBB4 protein [Homo sapiens],,,
ERBIN,,,,
Pba (md),,,,
Aqu,,,,
Nve,,,,
Hma,,,,
Hsa,>sp|Q96RT1.2|ERBIN_HUMAN RecName: Full=Erbin; AltName: Full=Densin-180-like protein; AltName: Full=Erbb2-interacting protein; AltName: Full=Protein LAP2,,,
GRIP,,,,
C,,,,
Sro,,,,
Mbr,,,,
Aqu,,,,
Oca,,,,
Hsa,>AAI15395.1 Glutamate receptor interacting protein 1 [Homo sapiens],,,
TAMALIN,,,,
Aqu,,,,
Hsa,,,,
NMDA,,,,
Nve,,,,
Hsa-1,">sp|Q05586.1|NMDZ1_HUMAN RecName: Full=Glutamate receptor ionotropic, NMDA 1; Short=GluN1; AltName: Full=Glutamate [NMDA] receptor subunit zeta-1; AltName: Full=N-methyl-D-aspartate receptor subunit NR1; Short=NMD-R1; Flags: Precursor",,,
Hsa-2A,">sp|Q12879.1|NMDE1_HUMAN RecName: Full=Glutamate receptor ionotropic, NMDA 2A; Short=GluN2A; AltName: Full=Glutamate [NMDA] receptor subunit epsilon-1; AltName: Full=N-methyl D-aspartate receptor subtype 2A; Short=NMDAR2A; Short=NR2A; Short=hNR2A; Flags: Precursor",,,
Hsa-2B,">sp|Q13224.3|NMDE2_HUMAN RecName: Full=Glutamate receptor ionotropic, NMDA 2B; Short=GluN2B; AltName: Full=Glutamate [NMDA] receptor subunit epsilon-2; AltName: Full=N-methyl D-aspartate receptor subtype 2B; Short=NMDAR2B; Short=NR2B; AltName: Full=N-methyl-D-aspartate receptor subunit 3; Short=NR3; Short=hNR3; Flags: Precursor",,,
Hsa-2C,">sp|Q14957.3|NMDE3_HUMAN RecName: Full=Glutamate receptor ionotropic, NMDA 2C; Short=GluN2C; AltName: Full=Glutamate [NMDA] receptor subunit epsilon-3; AltName: Full=N-methyl D-aspartate receptor subtype 2C; Short=NMDAR2C; Short=NR2C; Flags: Precursor",,,
Hsa-2D,">sp|O15399.2|NMDE4_HUMAN RecName: Full=Glutamate receptor ionotropic, NMDA 2D; Short=GluN2D; AltName: Full=EB11; AltName: Full=Glutamate [NMDA] receptor subunit epsilon-4; AltName: Full=N-methyl D-aspartate receptor subtype 2D; Short=NMDAR2D; Short=NR2D; Flags: Precursor",,,
NEUROLIGIN,,,,
Nve,,,,
Hsa-1,"#NEUROLIGIN
>AAH32555.1 Neuroligin 1 [Homo sapiens]",,,
Hsa-2,>AAM46111.1 neuroligin 2 [Homo sapiens],,,
STARGAZIN,,,,
Aqu,,,,
Nve,,,,
Hma,,,,
Hsa,>NP_006069.1 voltage-dependent calcium channel gamma-2 subunit [Homo sapiens],,,
CAMKII,,,,
C,,,,
Sro,>EGD79520.1 CAMK/CAMK2 protein kinase [Salpingoeca rosetta],,,
Mbr,,,,
Mle,,,,
Aqu,>XP_003387715.1 PREDICTED: calcium/calmodulin-dependent protein kinase type II alpha chain [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD39513.1 Calcium/calmodulin-dependent protein kinase type II alpha chain [Trichoplax sp. H2],,,
Nve,>EDO49898.1 predicted protein [Nematostella vectensis],,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/XP_002170610.2,,,
Hsa,>sp|Q9UQM7.2|KCC2A_HUMAN RecName: Full=Calcium/calmodulin-dependent protein kinase type II subunit alpha; Short=CaM kinase II subunit alpha; Short=CaMK-II subunit alpha,,,
CITRON,,,,
Mbr,,,,
Mle,,,,
Aqu,>XP_019856988.1 PREDICTED: citron Rho-interacting kinase-like [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD44815.1 Citron Rho-interacting kinase [Trichoplax sp. H2],,,
Nve,">EDO37677.1 predicted protein, partial [Nematostella vectensis]",,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CDG72142.1?report=fasta,,,
Hsa,>sp|O14578.2|CTRO_HUMAN RecName: Full=Citron Rho-interacting kinase; Short=CRIK; AltName: Full=Serine/threonine-protein kinase 21,,,
CORTACTIN,,,,
C,,,,
Sro,>EGD79822.1 cortactin [Salpingoeca rosetta],,,
Mbr,>EDQ87596.1 predicted protein [Monosiga brevicollis MX1],,,
Mle,,,,
Aqu,>XP_003383381.1 PREDICTED: src substrate cortactin-like [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD45780.1 Src substrate cortactin [Trichoplax sp. H2],,,
Nve,>XP_001642095.1 predicted protein [Nematostella vectensis],,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CDG70087.1?report=fasta,,,
Hsa,>AAH08799.1 Cortactin [Homo sapiens],,,
CRIPT,,,,
C,>KJE91925.1 hypothetical protein CAOG_002980 [Capsaspora owczarzaki ATCC 30864],,,
Sro,>EGD81782.1 cysteine-rich PDZ-binding protein [Salpingoeca rosetta],,,
Mbr,,,,
Mle,,,,
Aqu,>XP_003387592.1 PREDICTED: cysteine-rich PDZ-binding protein-like [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD47373.1 Cysteine-rich PDZ-binding protein [Trichoplax sp. H2],,,
Nve,>XP_001625367.1 predicted protein [Nematostella vectensis],,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/1068988408,,,
Hsa,>EAX00239.1 postsynaptic protein CRIPT [Homo sapiens],,,
GKAP,,,,
Mle,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,>sp|O14490.1|DLGP1_HUMAN RecName: Full=Disks large-associated protein 1; Short=DAP-1; AltName: Full=Guanylate kinase-associated protein; Short=hGKAP; AltName: Full=PSD-95/SAP90-binding protein 1; AltName: Full=SAP90/PSD-95-associated protein 1; Short=SAPAP1,,,
EPHR,,,,
C,>XP_004344371.2 ephrin type-A receptor 4a [Capsaspora owczarzaki ATCC 30864],,,
Mbr,,,,
Mle,,,,
Aqu-B2,>XP_019859613.1 PREDICTED: ephrin type-B receptor 2-like [Amphimedon queenslandica],,,
Aqu - A4,>XP_019862151.1 PREDICTED: ephrin type-A receptor 4-like [Amphimedon queenslandica],,,
Oca,,,,
Tad - A4,>RDD42371.1 Ephrin type-A receptor 4 [Trichoplax sp. H2],,,
Nve - some kind of EphR,">EDO40993.1 predicted protein, partial [Nematostella vectensis]",,,
Hma,HVU A4: https://www.ncbi.nlm.nih.gov/protein/CDG70713.1?report=fasta,,,
Hsa-B2,>sp|P29323.5|EPHB2_HUMAN RecName: Full=Ephrin type-B receptor 2; AltName: Full=Developmentally-regulated Eph-related tyrosine kinase; AltName: Full=ELK-related tyrosine kinase; AltName: Full=EPH tyrosine kinase 3; AltName: Full=EPH-like kinase 5; Short=EK5; Short=hEK5; AltName: Full=Renal carcinoma antigen NY-REN-47; AltName: Full=Tyrosine-protein kinase TYRO5; AltName: Full=Tyrosine-protein kinase receptor EPH-3; Contains: RecName: Full=EphB2/CTF1; Contains: RecName: Full=EphB2/CTF2; Flags: Precursor,,,
Hsa-A4,>sp|P54764.1|EPHA4_HUMAN RecName: Full=Ephrin type-A receptor 4; AltName: Full=EPH-like kinase 8; Short=EK8; Short=hEK8; AltName: Full=Tyrosine-protein kinase TYRO1; AltName: Full=Tyrosine-protein kinase receptor SEK; Flags: Precursor,,,
IP3R,,,,
C,">KJE94141.1 inositol 1,4,5-triphosphate receptor [Capsaspora owczarzaki ATCC 30864]",,,
Sro - some kind,>EGD76540.1 type I inositol triphosphate receptor [Salpingoeca rosetta],,,
Mbr - some kind,>EDQ90823.1 predicted protein [Monosiga brevicollis MX1],,,
Mle,,,,
Aqu,">XP_019849736.1 PREDICTED: inositol 1,4,5-trisphosphate receptor type 1-like isoform X1 [Amphimedon queenslandica]",,,
Oca,,,,
Tad,">RDD46102.1 Inositol 1,4,5-trisphosphate receptor type 1 [Trichoplax sp. H2]",,,
Nve,>EDO37876.1 predicted protein [Nematostella vectensis],,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/XP_012554143.1,,,
Hsa,">NP_001093422.2 inositol 1,4,5-trisphosphate receptor type 1 isoform 1 [Homo sapiens]",,,
IGLUR,,,,
Oca,,,,
Nve,,,,
Hma,,,,
Hsa,,,,
MGLUR,,,,
Mle,,,,
Aqu -1 (others possible),>XP_019855819.1 PREDICTED: probable metabotropic glutamate receptor mgl-1 [Amphimedon queenslandica],,,
Oca,,,,
Nve,,,,
Hma,HVU 1: https://www.ncbi.nlm.nih.gov/protein/XP_004207649.2?report=fasta,,,
Hsa-1,>sp|Q13255.3|GRM1_HUMAN RecName: Full=Metabotropic glutamate receptor 1; Short=mGluR1; Flags: Precursor,,,
Hsa-5,>sp|P41594.2|GRM5_HUMAN RecName: Full=Metabotropic glutamate receptor 5; Short=mGluR5; Flags: Precursor,,,
NOS,,,,
Mle,,,,
Aqu,">XP_011410183.2 PREDICTED: nitric oxide synthase, endothelial-like [Amphimedon queenslandica]",,,
Oca,,,,
Tad,">RDD42995.1 Nitric oxide synthase, brain [Trichoplax sp. H2]",,,
Nve,,,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CDG71068.1,,,
Hsa,">sp|P29475.2|NOS1_HUMAN RecName: Full=Nitric oxide synthase, brain; AltName: Full=Constitutive NOS; AltName: Full=NC-NOS; AltName: Full=NOS type I; AltName: Full=Neuronal NOS; Short=N-NOS; Short=nNOS; AltName: Full=Peptidyl-cysteine S-nitrosylase NOS1; AltName: Full=bNOS",,,
PKC,,,,
C,>XP_004365826.1 protein kinase C [Capsaspora owczarzaki ATCC 30864],,,
Sro,,,,
Mbr,,,,
Mle,,,,
Aqu - delta,>XP_003384983.1 PREDICTED: protein kinase C delta type-like [Amphimedon queenslandica],,,
Aqu - iota,">XP_003391973.2 PREDICTED: protein kinase C iota type-like, partial [Amphimedon queenslandica]",,,
Oca,OLOB: https://www.ncbi.nlm.nih.gov/protein/AVM85889.1,,,
Tad,,,,
Nve - alpha likely,">EDO44925.1 predicted protein, partial [Nematostella vectensis]",,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CAA73363.1,,,
Hsa,>NP_001303258.1 protein kinase C gamma type isoform 1 [Homo sapiens],,,
PMCA,,,,
C,>XP_004345268.1 plasma membrane calcium-transporting ATPase 4 [Capsaspora owczarzaki ATCC 30864],,,
Sro,,,,
Mbr,,,,
Mle,,,,
Aqu - 2,>XP_019863584.1 PREDICTED: plasma membrane calcium-transporting ATPase 2 [Amphimedon queenslandica],,,
Oca,,,,
Tad - 3,>RDD46772.1 Plasma membrane calcium-transporting ATPase 3 [Trichoplax sp. H2],,,
Nve,">XP_001633838.1 predicted protein, partial [Nematostella vectensis]",,,
Hma,HVU 3: https://www.ncbi.nlm.nih.gov/protein/?term=plasma+membrane+ca+atpase+hydra,,,
Hsa - 2,>sp|Q01814.2|AT2B2_HUMAN RecName: Full=Plasma membrane calcium-transporting ATPase 2; Short=PMCA2; AltName: Full=Plasma membrane calcium ATPase isoform 2; AltName: Full=Plasma membrane calcium pump isoform 2,,,
Hsa - 3,>sp|Q16720.3|AT2B3_HUMAN RecName: Full=Plasma membrane calcium-transporting ATPase 3; Short=PMCA3; AltName: Full=Plasma membrane calcium ATPase isoform 3; AltName: Full=Plasma membrane calcium pump isoform 3,,,
SHAKER K+,,,,
C,,,,
Sro,,,,
Mbr,,,,
Mle,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,sp|P22001.3|KCNA3_HUMAN RecName: Full=Potassium voltage-gated channel subfamily A member 3; AltName: Full=HGK5; AltName: Full=HLK3; AltName: Full=HPCN3; AltName: Full=Voltage-gated K(+) channel HuKIII; AltName: Full=Voltage-gated potassium channel subunit Kv1.3,,,
GABA-R,,,,
C,,,,
Aqu-1,>XP_019856013.1 PREDICTED: gamma-aminobutyric acid type B receptor subunit 1-like [Amphimedon queenslandica],,,
Aqu-2,>XP_019853953.1 PREDICTED: gamma-aminobutyric acid type B receptor subunit 2-like [Amphimedon queenslandica],,,
Oca,,,,
Nve,">EDO49051.1 predicted protein, partial [Nematostella vectensis]",,,
Hsa-1,>sp|Q9UBS5.1|GABR1_HUMAN RecName: Full=Gamma-aminobutyric acid type B receptor subunit 1; Short=GABA-B receptor 1; Short=GABA-B-R1; Short=GABA-BR1; Short=GABABR1; Short=Gb1; Flags: Precursor,,,
Hsa-2,>sp|O75899.1|GABR2_HUMAN RecName: Full=Gamma-aminobutyric acid type B receptor subunit 2; Short=GABA-B receptor 2; Short=GABA-B-R2; Short=GABA-BR2; Short=GABABR2; Short=Gb2; AltName: Full=G-protein coupled receptor 51; AltName: Full=HG20; Flags: Precursor,,,
KIR,,,,
Sro,>XP_004997315.1 G-protein-coupled inward rectifier potassium channel [Salpingoeca rosetta],,,
Mbr,,,,
Aqu-A,>ACJ11213.1 potassium inward rectifier channel A [Amphimedon queenslandica],,,
Aqu-B,>ACJ11214.1 potassium inward rectifier channel B [Amphimedon queenslandica],,,
Oca,,,,
Nve,,,,
Hsa,">sp|P63252.1|KCNJ2_HUMAN RecName: Full=Inward rectifier potassium channel 2; AltName: Full=Cardiac inward rectifier potassium channel; AltName: Full=Inward rectifier K(+) channel Kir2.1; Short=IRK-1; Short=hIRK1; AltName: Full=Potassium channel, inwardly rectifying subfamily J member 2",,,
MAGI,Isn’t this S-SCAM?,,,
C,,,,
Sro,,,,
Mbr,,,,
Mle,,,,
Aqu,,,,
Oca,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,,,,
PICK1,,,,
C,,,,
Sro,,,,
Mbr,,,,
Mle,,,,
Aqu,>XP_019850398.1 PREDICTED: PRKCA-binding protein-like [Amphimedon queenslandica],,,
Oca,,,,
Tad,>RDD38878.1 PRKCA-binding protein [Trichoplax sp. H2],,,
Nve,>EDO38097.1 predicted protein [Nematostella vectensis],,,
Hma,HVU: D,,,
Hsa,>BAA89294.1 PICK1 [Homo sapiens],,,
ALPHA-CATENIN,,,,
Mle,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hsa,>BAA02979.1 alpha-catenin [Homo sapiens],,,
BETA-CATENIN,,,,
Mbr,,,,
Mle,>ADO34159.1 beta-catenin [Mnemiopsis leidyi],,,
Aqu,>NP_001266234.1 beta-catenin [Amphimedon queenslandica],,,
Tad,,,,
Nve,">AAL49498.1 beta-catenin, partial [Nematostella vectensis]",,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/NP_001267780.1,,,
Hsa,>sp|P35222.1|CTNB1_HUMAN RecName: Full=Catenin beta-1; AltName: Full=Beta-catenin,,,
CLASSICAL_CADHERIN,,,,
Mle,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hma,HVU: https://www.ncbi.nlm.nih.gov/protein/CRX73223.1,,,
Hsa,>sp|P19022.4|CADH2_HUMAN RecName: Full=Cadherin-2; AltName: Full=CDw325; AltName: Full=Neural cadherin; Short=N-cadherin; AltName: CD_antigen=CD325; Flags: Precursor,,,
P-120-D_CATENIN,,,,
Mle,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,,,,
Delta-Catenin,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,>sp|Q9UQB3.3|CTND2_HUMAN RecName: Full=Catenin delta-2; AltName: Full=Delta-catenin; AltName: Full=GT24; AltName: Full=Neural plakophilin-related ARM-repeat protein; Short=NPRAP; AltName: Full=Neurojungin,,,
,,,,
NT SYNTHESIS,,,,
DBH,,,,
Mbr,,,,
Aqu,,,,
Oca,,,,
Tad,,,,
Nve,,,,
Hsa,>sp|P09172.3|DOPO_HUMAN RecName: Full=Dopamine beta-hydroxylase; AltName: Full=Dopamine beta-monooxygenase; Contains: RecName: Full=Soluble dopamine beta-hydroxylase,,,
DDC,,,,
C,,,,
Oca,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,>sp|P20711.2|DDC_HUMAN RecName: Full=Aromatic-L-amino-acid decarboxylase; Short=AADC; AltName: Full=DOPA decarboxylase; Short=DDC,,,
TH,,,,
Nve,,,,
Hsa,>AAI04968.1 Tyrosine hydroxylase [Homo sapiens],,,
PNMT,,,,
Nve,,,,
Hsa,>sp|P11086.1|PNMT_HUMAN RecName: Full=Phenylethanolamine N-methyltransferase; Short=PNMTase; AltName: Full=Noradrenaline N-methyltransferase,,,
TPH,,,,
Nve,,,,
Hsa,>AAA67050.1 tryptophan hydroxylase [Homo sapiens],,,
PAH,,,,
C,>XP_004349875.1 phenylalanine hydroxylase [Capsaspora owczarzaki ATCC 30864],,,
Sro,>EGD81433.1 phenylalanine hydroxylase [Salpingoeca rosetta],,,
Mbr,,,,
Aqu,,,,
Oca,,,,
Tad,,,,
Nve,,,,
Hsa,>AAA60082.1 phenylalanine hydroxylase [Homo sapiens],,,
GAD,,,,
C,,,,
Sro,,,,
Mbr,,,,
Aqu,,,,
Oca,,,,
Tad,>EDV20921.1 hypothetical protein TRIADDRAFT_60611 [Trichoplax adhaerens],,,
Nve,,,,
Hsa,>AAB59427.1 glutamate decarboxylase [Homo sapiens],,,
QDPR,,,,
Mbr,,,,
Mle,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hma,,,,
Hsa,>sp|P09417.2|DHPR_HUMAN RecName: Full=Dihydropteridine reductase; AltName: Full=HDHPR; AltName: Full=Quinoid dihydropteridine reductase; AltName: Full=Short chain dehydrogenase/reductase family 33C member 1,,,
SLC18A2,,,,
Mbr,,,,
Hsa,>AAH30593.1 SLC18A2 protein [Homo sapiens],,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
