locus_id	gen_contig_id	gen_contig_start	gen_contig_stop	strand	out_seq_id	out_seq_start	out_seq_stop	pct_locus	overhangs	product
GBEIEJCH_00226	rec11	12415	13101	-	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	2252	2938	100.00	0,0	putative glycerol dehydrogenase
GBEIEJCH_00227	rec11	13088	13522	-	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	2925	3359	100.00	0,0	hypothetical protein
GBEIEJCH_00228	rec11	13951	15195	+	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	3788	5032	100.00	0,0	putative MFS-family membrane transport protein
GBEIEJCH_00229	rec11	15192	16907	+	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	5029	6744	100.00	0,0	putative dehydratase
GBEIEJCH_00230	rec11	16951	17856	+	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	6788	7693	100.00	0,0	putative dihydrodipicolinate synthetase
GBEIEJCH_00231	rec11	17900	18655	-	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	7737	8492	100.00	0,0	putative IclR-family transcriptional regulator
GBEIEJCH_00232	rec11	18832	18841	-	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	8669	8678	0.41	0,2438	glycogen phosphorylase
GBEIEJCH_00243	rec11	35776	36264	+	S_Abortusovis_SR44_AGEnt_accessory_0029_length_4895	56	544	100.00	0,0	putative acetyltransferase
GBEIEJCH_00244	rec11	36531	37535	+	S_Abortusovis_SR44_AGEnt_accessory_0029_length_4895	811	1815	100.00	0,0	Sulfofructose kinase
GBEIEJCH_00245	rec11	37760	38521	+	S_Abortusovis_SR44_AGEnt_accessory_0029_length_4895	2040	2801	100.00	0,0	hypothetical protein
GBEIEJCH_00246	rec11	38575	39612	+	S_Abortusovis_SR44_AGEnt_accessory_0029_length_4895	2855	3892	100.00	0,0	putative membrane protein
GBEIEJCH_00247	rec11	39590	40567	+	S_Abortusovis_SR44_AGEnt_accessory_0029_length_4895	3870	4847	100.00	0,0	putative phosphotriesterase
GBEIEJCH_00248	rec11	40612	40615	-	S_Abortusovis_SR44_AGEnt_accessory_0029_length_4895	4892	4895	0.24	0,1673	gamma-glutamyltranspeptidase precursor
GBEIEJCH_00249	rec11	42617	42646	+	S_Abortusovis_SR44_AGEnt_accessory_0030_length_30	1	30	7.19	138,249	putative protein YhhA
GBEIEJCH_00255	rec11	48126	48494	-	S_Abortusovis_SR44_AGEnt_accessory_0031_length_799	78	446	100.00	0,0	death on curing protein
GBEIEJCH_00256	rec11	48491	48712	-	S_Abortusovis_SR44_AGEnt_accessory_0031_length_799	443	664	100.00	0,0	prevent host death protein
GBEIEJCH_00257	rec11	48844	48847	-	S_Abortusovis_SR44_AGEnt_accessory_0031_length_799	796	799	0.56	0,710	high-affinity branched-chain amino acid transport ATP-binding protein
GBEIEJCH_00263	rec11	54497	54497	+	S_Abortusovis_SR44_AGEnt_accessory_0032_length_1621	1	1	0.26	383,0	hypothetical protein
GBEIEJCH_00264	rec11	54693	55790	-	S_Abortusovis_SR44_AGEnt_accessory_0032_length_1621	197	1294	100.00	0,0	leu/ile/val/thr-binding protein
GBEIEJCH_00268	rec11	60068	60412	-	S_Abortusovis_SR44_AGEnt_accessory_0033_length_366	1	345	23.37	1131,0	cell division protein
GBEIEJCH_00273	rec11	62643	62775	+	S_Abortusovis_SR44_AGEnt_accessory_0034_length_133	1	133	6.05	8,2058	heavy metal-transporting ATPase
GBEIEJCH_00281	rec11	71926	71932	+	S_Abortusovis_SR44_AGEnt_accessory_0035_length_163	1	7	1.60	431,0	nickel responsive regulator
GBEIEJCH_00282	rec11	72034	72088	-	S_Abortusovis_SR44_AGEnt_accessory_0035_length_163	109	163	8.69	0,578	putative ABC-2 type superfamily transport protein
GBEIEJCH_00286	rec11	77255	77705	-	S_Abortusovis_SR44_AGEnt_accessory_0036_length_665	215	665	37.68	0,746	putative exported protein
GBEIEJCH_00293	rec11	86351	87622	-	S_Abortusovis_SR44_AGEnt_accessory_0038_length_1502	87	1358	100.00	0,0	putative phosphatase
GBEIEJCH_00296	rec11	90301	90765	-	S_Abortusovis_SR44_AGEnt_accessory_0039_length_465	1	465	44.54	122,457	L-asparginase
GBEIEJCH_00296	rec11	90976	91222	-	S_Abortusovis_SR44_AGEnt_accessory_0040_length_2768	1	247	23.66	797,0	L-asparginase
GBEIEJCH_00297	rec11	91281	92600	-	S_Abortusovis_SR44_AGEnt_accessory_0040_length_2768	306	1625	100.00	0,0	putative anaerobic C4 dicarboxylate membrane transport protein
GBEIEJCH_00298	rec11	92654	93499	-	S_Abortusovis_SR44_AGEnt_accessory_0040_length_2768	1679	2524	100.00	0,0	putative carbohydrate kinase
GBEIEJCH_00299	rec11	93563	93743	-	S_Abortusovis_SR44_AGEnt_accessory_0040_length_2768	2588	2768	20.11	0,719	putative phosphosugar-binding protein
GBEIEJCH_00316	rec11	117951	118715	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	1	765	80.95	180,0	putative endoglucanase precursor
GBEIEJCH_00317	rec11	118719	119699	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	769	1749	100.00	0,0	putative polysaccharide biosynthesis protein subunit B
GBEIEJCH_00318	rec11	119759	120346	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	1809	2396	100.00	0,0	putative polysaccharide biosynthesis protein subunit B
GBEIEJCH_00319	rec11	120348	120998	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	2398	3048	100.00	0,0	putative polysaccharide biosynthesis protein subunit B
GBEIEJCH_00320	rec11	121030	123654	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	3080	5704	100.00	0,0	putative polysaccharide biosynthesis protein catalytic subunit
GBEIEJCH_00321	rec11	123651	124031	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	5701	6081	100.00	0,0	hypothetical protein
GBEIEJCH_00322	rec11	124110	124403	-	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	6160	6453	100.00	0,0	hypothetical protein
GBEIEJCH_00323	rec11	124864	126423	+	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	6914	8473	100.00	0,0	hypothetical protein
GBEIEJCH_00324	rec11	126420	126611	+	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	8470	8661	100.00	0,0	putative membrane protein
GBEIEJCH_00325	rec11	126608	127027	+	S_Abortusovis_SR44_AGEnt_accessory_0042_length_9077	8658	9077	25.00	0,1260	putative membrane protein
GBEIEJCH_00326	rec11	128369	128476	-	S_Abortusovis_SR44_AGEnt_accessory_0043_length_521	10	117	100.00	0,0	Small toxic polypeptide LdrD
GBEIEJCH_01912	rec110	1418	1705	+	S_Abortusovis_SR44_AGEnt_accessory_0044_length_2068	1418	1705	100.00	0,0	hypothetical protein
GBEIEJCH_01913	rec110	1692	1994	+	S_Abortusovis_SR44_AGEnt_accessory_0044_length_2068	1692	1994	100.00	0,0	hypothetical protein
GBEIEJCH_01921	rec110	7567	7664	-	S_Abortusovis_SR44_AGEnt_accessory_0045_length_290	1	98	48.04	106,0	hypothetical protein
GBEIEJCH_01922	rec110	7680	7856	-	S_Abortusovis_SR44_AGEnt_accessory_0045_length_290	114	290	7.72	0,2115	putative phosphoglycerol transferase
GBEIEJCH_01927	rec110	13514	13552	-	S_Abortusovis_SR44_AGEnt_accessory_0046_length_309	1	39	4.13	906,0	putative membrane protein
GBEIEJCH_01953	rec110	33644	34216	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	37	609	100.00	0,0	putative fimbrial protein
GBEIEJCH_01954	rec110	34213	34548	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	606	941	100.00	0,0	fimbrial usher protein
GBEIEJCH_01955	rec110	34737	35111	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	1130	1504	100.00	0,0	fimbrial usher protein
GBEIEJCH_01956	rec110	35114	35527	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	1507	1920	100.00	0,0	fimbrial usher protein
GBEIEJCH_01957	rec110	35559	36434	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	1952	2827	100.00	0,0	fimbrial usher protein
GBEIEJCH_01958	rec110	36743	37342	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	3136	3735	100.00	0,0	fimbrial chaperone
GBEIEJCH_01959	rec110	37421	37972	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	3814	4365	100.00	0,0	putative outer membrane protein
GBEIEJCH_01960	rec110	37921	38106	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	4314	4499	100.00	0,0	hypothetical protein
GBEIEJCH_01961	rec110	38591	38845	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	4984	5238	100.00	0,0	putative outer membrane protein
GBEIEJCH_01962	rec110	39158	39272	-	S_Abortusovis_SR44_AGEnt_accessory_0047_length_5665	5551	5665	11.31	0,902	lipoate-protein ligase A
GBEIEJCH_01965	rec110	42020	42469	+	S_Abortusovis_SR44_AGEnt_accessory_0048_length_1595	86	535	100.00	0,0	putative DNA repair protein
GBEIEJCH_01966	rec110	42435	43403	+	S_Abortusovis_SR44_AGEnt_accessory_0048_length_1595	501	1469	100.00	0,0	putative DNA repair protein
GBEIEJCH_01972	rec110	49316	49494	-	S_Abortusovis_SR44_AGEnt_accessory_0050_length_179	1	179	38.25	73,216	hypothetical protein
GBEIEJCH_01979	rec110	54438	55496	+	S_Abortusovis_SR44_AGEnt_accessory_0051_length_1098	1	1059	81.34	243,0	inner membrane protein
GBEIEJCH_01980	rec110	56487	56518	-	S_Abortusovis_SR44_AGEnt_accessory_0052_length_32	1	32	2.95	933,121	putative fimbrial subunit
GBEIEJCH_01992	rec113	4745	7084	-	S_Abortusovis_SR44_AGEnt_accessory_0054_length_8450	1	2340	84.42	432,0	large repetitive protein
GBEIEJCH_01993	rec113	7096	7782	-	S_Abortusovis_SR44_AGEnt_accessory_0054_length_8450	2352	3038	100.00	0,0	large repetitive protein
GBEIEJCH_01994	rec113	7763	9265	-	S_Abortusovis_SR44_AGEnt_accessory_0054_length_8450	3019	4521	100.00	0,0	large repetitive protein
GBEIEJCH_01995	rec113	9243	13193	-	S_Abortusovis_SR44_AGEnt_accessory_0054_length_8450	4499	8449	100.00	0,0	large repetitive protein
GBEIEJCH_01998	rec117	22	867	+	S_Abortusovis_SR44_AGEnt_accessory_0056_length_942	22	867	100.00	0,0	hypothetical protein
GBEIEJCH_01999	rec118	515	751	-	S_Abortusovis_SR44_AGEnt_accessory_0057_length_986	515	751	100.00	0,0	bacteriophage tail sheath protein
GBEIEJCH_02000	rec118	741	905	-	S_Abortusovis_SR44_AGEnt_accessory_0057_length_986	741	905	100.00	0,0	hypothetical protein
GBEIEJCH_02012	rec119	8246	8276	+	S_Abortusovis_SR44_AGEnt_accessory_0059_length_81	1	31	5.68	515,0	chorismate mutase
GBEIEJCH_02018	rec119	11699	11950	+	S_Abortusovis_SR44_AGEnt_accessory_0060_length_1217	137	388	100.00	0,0	hypothetical protein
GBEIEJCH_02019	rec119	12019	12330	+	S_Abortusovis_SR44_AGEnt_accessory_0060_length_1217	457	768	100.00	0,0	hypothetical protein
GBEIEJCH_02020	rec119	12331	12663	-	S_Abortusovis_SR44_AGEnt_accessory_0060_length_1217	769	1101	100.00	0,0	putative bacteriophage protein
GBEIEJCH_02025	rec119	15581	15601	+	S_Abortusovis_SR44_AGEnt_accessory_0061_length_60	1	21	19.44	87,0	hypothetical protein
GBEIEJCH_02026	rec119	15598	15640	-	S_Abortusovis_SR44_AGEnt_accessory_0061_length_60	18	60	8.14	0,485	hypothetical protein
GBEIEJCH_02027	rec119	16411	17659	-	S_Abortusovis_SR44_AGEnt_accessory_0062_length_6478	1	1249	86.92	188,0	hypothetical protein
GBEIEJCH_02028	rec119	17953	18180	+	S_Abortusovis_SR44_AGEnt_accessory_0062_length_6478	1543	1770	100.00	0,0	hypothetical protein
GBEIEJCH_02029	rec119	18308	19594	-	S_Abortusovis_SR44_AGEnt_accessory_0062_length_6478	1898	3184	100.00	0,0	hypothetical protein
GBEIEJCH_02030	rec119	19717	21651	-	S_Abortusovis_SR44_AGEnt_accessory_0062_length_6478	3307	5241	100.00	0,0	hypothetical protein
GBEIEJCH_02031	rec119	22081	22827	+	S_Abortusovis_SR44_AGEnt_accessory_0062_length_6478	5671	6417	100.00	0,0	putative outer membrane protein
GBEIEJCH_02039	rec119	29043	29273	-	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	173	403	100.00	0,0	hypothetical protein
GBEIEJCH_02040	rec119	29548	30624	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	678	1754	100.00	0,0	threonine 3-dehydrogenase
GBEIEJCH_02041	rec119	30651	32030	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	1781	3160	100.00	0,0	putative metabolite transport protein
GBEIEJCH_02042	rec119	32041	33084	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	3171	4214	100.00	0,0	starvation sensing protein RspB
GBEIEJCH_02043	rec119	33196	33942	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	4326	5072	100.00	0,0	tagatose-bisphosphate aldolase
GBEIEJCH_02044	rec119	33947	34627	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	5077	5757	100.00	0,0	putative sugar kinase YdjH
GBEIEJCH_02045	rec119	34575	34895	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	5705	6025	100.00	0,0	putative sugar kinase YdjH
GBEIEJCH_02046	rec119	34905	35891	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	6035	7021	100.00	0,0	putative oxidoreductase
GBEIEJCH_02047	rec119	36021	36779	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	7151	7909	100.00	0,0	l-fucose operon activator
GBEIEJCH_02048	rec119	36915	38144	+	S_Abortusovis_SR44_AGEnt_accessory_0065_length_9369	8045	9274	100.00	0,0	Inner membrane metabolite transport protein YdjE
GBEIEJCH_02060	rec119	50720	51275	+	S_Abortusovis_SR44_AGEnt_accessory_0066_length_556	1	556	53.72	49,430	arginine N-succinyltransferase
GBEIEJCH_02060	rec119	51462	51705	+	S_Abortusovis_SR44_AGEnt_accessory_0067_length_2318	1	244	23.57	791,0	arginine N-succinyltransferase
GBEIEJCH_02061	rec119	51702	53180	+	S_Abortusovis_SR44_AGEnt_accessory_0067_length_2318	241	1719	100.00	0,0	succinylglutamic semialdehyde dehydrogenase
GBEIEJCH_02062	rec119	53177	53779	+	S_Abortusovis_SR44_AGEnt_accessory_0067_length_2318	1716	2318	44.87	0,741	succinylarginine dihydrolase
GBEIEJCH_00327	rec12	59	856	-	S_Abortusovis_SR44_AGEnt_accessory_0068_length_2440	59	856	100.00	0,0	IS21 family transposase IS21
GBEIEJCH_00328	rec12	856	2028	-	S_Abortusovis_SR44_AGEnt_accessory_0068_length_2440	856	2028	100.00	0,0	hypothetical protein
GBEIEJCH_00329	rec12	2419	2440	-	S_Abortusovis_SR44_AGEnt_accessory_0068_length_2440	2419	2440	11.46	0,170	hypothetical protein
GBEIEJCH_02069	rec120	202	549	+	S_Abortusovis_SR44_AGEnt_accessory_0069_length_4267	202	549	100.00	0,0	hypothetical protein
GBEIEJCH_02070	rec120	821	1063	-	S_Abortusovis_SR44_AGEnt_accessory_0069_length_4267	821	1063	100.00	0,0	hypothetical protein
GBEIEJCH_02071	rec120	1343	1495	-	S_Abortusovis_SR44_AGEnt_accessory_0069_length_4267	1343	1495	100.00	0,0	hypothetical protein
GBEIEJCH_02072	rec120	1576	2157	+	S_Abortusovis_SR44_AGEnt_accessory_0069_length_4267	1576	2157	100.00	0,0	hypothetical protein
GBEIEJCH_02073	rec120	2409	3176	+	S_Abortusovis_SR44_AGEnt_accessory_0069_length_4267	2409	3176	100.00	0,0	hypothetical protein
GBEIEJCH_02074	rec120	3269	3403	+	S_Abortusovis_SR44_AGEnt_accessory_0069_length_4267	3269	3403	100.00	0,0	putative inner membrane protein
GBEIEJCH_02088	rec121	18104	18368	+	S_Abortusovis_SR44_AGEnt_accessory_0070_length_265	1	265	12.39	752,1122	anaerobic dimethyl sulfoxide reductase chain A precursor
GBEIEJCH_02096	rec121	25454	25516	-	S_Abortusovis_SR44_AGEnt_accessory_0072_length_1614	1	63	7.89	735,0	pyruvate formate-lyase 1 activating enzyme
GBEIEJCH_02097	rec121	25635	25817	-	S_Abortusovis_SR44_AGEnt_accessory_0072_length_1614	182	364	100.00	0,0	hypothetical protein
GBEIEJCH_02098	rec121	26103	26798	+	S_Abortusovis_SR44_AGEnt_accessory_0072_length_1614	650	1345	100.00	0,0	type III secretion system effector protein
GBEIEJCH_02130	rec121	65118	65579	-	S_Abortusovis_SR44_AGEnt_accessory_0073_length_3810	59	520	100.00	0,0	putative transcriptional regulator
GBEIEJCH_02131	rec121	65897	66058	+	S_Abortusovis_SR44_AGEnt_accessory_0073_length_3810	838	999	100.00	0,0	diaminopropionate ammonia-lyase (ec 4.3.1.15) (diaminopropionatase) (alpha,beta-diaminopropionate ammonia-lyase)
GBEIEJCH_02132	rec121	66175	67110	+	S_Abortusovis_SR44_AGEnt_accessory_0073_length_3810	1116	2051	100.00	0,0	diaminopropionate ammonia-lyase (ec 4.3.1.15) (diaminopropionatase) (alpha,beta-diaminopropionate ammonia-lyase)
GBEIEJCH_02133	rec121	67356	68792	+	S_Abortusovis_SR44_AGEnt_accessory_0073_length_3810	2297	3733	100.00	0,0	putative ion:amino acid symporter
GBEIEJCH_02135	rec122	362	928	+	S_Abortusovis_SR44_AGEnt_accessory_0075_length_1713	362	928	100.00	0,0	putative bacteriophage protein
GBEIEJCH_02136	rec122	1246	1434	+	S_Abortusovis_SR44_AGEnt_accessory_0075_length_1713	1246	1434	100.00	0,0	hypothetical protein
GBEIEJCH_02137	rec122	1524	1661	+	S_Abortusovis_SR44_AGEnt_accessory_0075_length_1713	1524	1661	100.00	0,0	hypothetical protein
GBEIEJCH_02138	rec123	521	1216	+	S_Abortusovis_SR44_AGEnt_accessory_0076_length_5806	521	1216	100.00	0,0	bacteriophage minor tail protein
GBEIEJCH_02139	rec123	1226	1963	+	S_Abortusovis_SR44_AGEnt_accessory_0076_length_5806	1226	1963	100.00	0,0	putative bacteriophage minor tail protein
GBEIEJCH_02140	rec123	2023	2565	+	S_Abortusovis_SR44_AGEnt_accessory_0076_length_5806	2023	2565	100.00	0,0	Tail Assembly Protein
GBEIEJCH_02141	rec123	2637	3041	+	S_Abortusovis_SR44_AGEnt_accessory_0076_length_5806	2637	3041	100.00	0,0	putative Host Specificity Protein
GBEIEJCH_02142	rec123	3038	5128	+	S_Abortusovis_SR44_AGEnt_accessory_0076_length_5806	3038	5128	100.00	0,0	putative Host Specificity Protein
GBEIEJCH_02143	rec124	218	484	-	S_Abortusovis_SR44_AGEnt_accessory_0077_length_710	218	484	100.00	0,0	hypothetical protein
