locus_id	gen_contig_id	gen_contig_start	gen_contig_stop	strand	out_seq_id	out_seq_start	out_seq_stop	pct_locus	source_gen	overhangs	product
SeAg_B0023	CP001138	23337	24041	+	pangenome_0002_length_4798660	23337	24041	100.00	S_Agona_SL483	0,0	putative cytoplasmic protein
SeAg_B0024	CP001138	24471	25013	+	pangenome_0002_length_4798660	24471	25013	100.00	S_Agona_SL483	0,0	fimbrial subunit
SeAg_B0025	CP001138	24973	25800	+	pangenome_0002_length_4798660	24973	25800	100.00	S_Agona_SL483	0,0	chaperone protein FimC
SeAg_B0026	CP001138	25760	28426	+	pangenome_0002_length_4798660	25760	28426	100.00	S_Agona_SL483	0,0	outer membrane usher protein FimD
SeAg_B0027	CP001138	28427	29434	+	pangenome_0002_length_4798660	28427	29434	100.00	S_Agona_SL483	0,0	mannose binding protein FimH
SeAg_B0028	CP001138	29465	29980	+	pangenome_0002_length_4798660	29465	29980	100.00	S_Agona_SL483	0,0	fimbrial subunit
SeAg_B0029	CP001138	29996	30514	+	pangenome_0002_length_4798660	29996	30514	100.00	S_Agona_SL483	0,0	fimbrial subunit
SeAg_B0030	CP001138	30576	31211	+	pangenome_0002_length_4798660	30576	31211	100.00	S_Agona_SL483	0,0	fimbrial chaperone
SeAg_B0033	CP001138	32547	32996	-	pangenome_0002_length_4798660	32547	32996	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0034	CP001138	33366	34370	+	pangenome_0002_length_4798660	33366	34370	100.00	S_Agona_SL483	0,0	putative transcriptional regulator
SeAg_B0035	CP001138	34378	34815	-	pangenome_0002_length_4798660	34378	34815	100.00	S_Agona_SL483	0,0	putative transcription regulator
SeAg_B0036	CP001138	34827	34973	+	pangenome_0002_length_4798660	34827	34973	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0037	CP001138	35338	37056	+	pangenome_0002_length_4798660	35338	37056	100.00	S_Agona_SL483	0,0	arylsulfotransferase
SeAg_B0038	CP001138	37102	38664	-	pangenome_0002_length_4798660	37102	38664	100.00	S_Agona_SL483	0,0	5'-Nucleotidase domain protein
SeAg_B0039	CP001138	38772	39533	-	pangenome_0002_length_4798660	38772	39533	100.00	S_Agona_SL483	0,0	putative outer membrane/exported protein
SeAg_B0040	CP001138	40128	41621	+	pangenome_0002_length_4798660	40128	41621	100.00	S_Agona_SL483	0,0	sulfatase
SeAg_B0041	CP001138	41723	42910	+	pangenome_0002_length_4798660	41723	42910	100.00	S_Agona_SL483	0,0	chondroitin sulfate/heparin utilization regulation protein
SeAg_B0042	CP001138	42935	44182	+	pangenome_0002_length_4798660	42935	44182	100.00	S_Agona_SL483	0,0	putative cytoplasmic protein
SeAg_B0043	CP001138	44309	46024	+	pangenome_0002_length_4798660	44309	46024	100.00	S_Agona_SL483	0,0	arylsulfotransferase
SeAg_B0044	CP001138	46187	47353	+	pangenome_0002_length_4798660	46187	47353	100.00	S_Agona_SL483	0,0	Na+/H+ antiporter NhaA
SeAg_B0045	CP001138	47415	48314	+	pangenome_0002_length_4798660	47415	48314	100.00	S_Agona_SL483	0,0	transcriptional activator protein NhaR
SeAg_B0046	CP001138	48369	50408	-	pangenome_0002_length_4798660	48369	50408	100.00	S_Agona_SL483	0,0	glycoside hydrolase, family 31
SeAg_B0047	CP001138	50448	51863	-	pangenome_0002_length_4798660	50448	51863	100.00	S_Agona_SL483	0,0	xylose-proton symporter
SeAg_B0048	CP001138	52277	52540	-	pangenome_0002_length_4798660	52277	52540	100.00	S_Agona_SL483	0,0	ribosomal protein S20
SeAg_B0049	CP001138	52715	52861	+	pangenome_0002_length_4798660	52715	52861	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0050	CP001138	52869	53807	+	pangenome_0002_length_4798660	52869	53807	100.00	S_Agona_SL483	0,0	riboflavin biosynthesis protein RibF
SeAg_B0051	CP001138	53816	56686	+	pangenome_0002_length_4798660	53816	56686	100.00	S_Agona_SL483	0,0	isoleucyl-tRNA synthetase
SeAg_B0052	CP001138	56686	57186	+	pangenome_0002_length_4798660	56686	57186	100.00	S_Agona_SL483	0,0	signal peptidase II
SeAg_B0053	CP001138	57200	57331	+	pangenome_0002_length_4798660	57200	57331	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0054	CP001138	57341	57790	+	pangenome_0002_length_4798660	57341	57790	100.00	S_Agona_SL483	0,0	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
SeAg_B0055	CP001138	57793	58743	+	pangenome_0002_length_4798660	57793	58743	100.00	S_Agona_SL483	0,0	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
SeAg_B0056	CP001138	58855	58983	-	pangenome_0002_length_4798660	58855	58983	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0057	CP001138	58994	60145	+	pangenome_0002_length_4798660	58994	60145	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0058	CP001138	60161	61081	+	pangenome_0002_length_4798660	60161	61081	100.00	S_Agona_SL483	0,0	Non-specific ribonucleoside hydrolase RihC
SeAg_B0059	CP001138	61103	61789	-	pangenome_0002_length_4798660	61103	61789	100.00	S_Agona_SL483	0,0	transcriptional regulatory protein CitB
SeAg_B0060	CP001138	61791	63449	-	pangenome_0002_length_4798660	61791	63449	100.00	S_Agona_SL483	0,0	sensor kinase DpiB
SeAg_B0061	CP001138	63545	64846	-	pangenome_0002_length_4798660	63545	64846	100.00	S_Agona_SL483	0,0	oxaloacetate decarboxylase beta chain
SeAg_B0062	CP001138	64862	66628	-	pangenome_0002_length_4798660	64862	66628	100.00	S_Agona_SL483	0,0	oxaloacetate decarboxylase alpha subunit
SeAg_B0063	CP001138	66644	66883	-	pangenome_0002_length_4798660	66644	66883	100.00	S_Agona_SL483	0,0	conserved domain protein
SeAg_B0064	CP001138	67042	68382	-	pangenome_0002_length_4798660	67042	68382	100.00	S_Agona_SL483	0,0	citrate-sodium symporter
SeAg_B0065	CP001138	68639	69670	+	pangenome_0002_length_4798660	68639	69670	100.00	S_Agona_SL483	0,0	[citrate (pro-3S)-lyase] ligase
SeAg_B0066	CP001138	69700	69993	+	pangenome_0002_length_4798660	69700	69993	100.00	S_Agona_SL483	0,0	citrate lyase acyl carrier protein
SeAg_B0067	CP001138	69990	70859	+	pangenome_0002_length_4798660	69990	70859	100.00	S_Agona_SL483	0,0	citrate (pro-3S)-lyase, beta subunit
SeAg_B0068	CP001138	70870	72390	+	pangenome_0002_length_4798660	70870	72390	100.00	S_Agona_SL483	0,0	citrate lyase, alpha subunit
SeAg_B0069	CP001138	72390	72941	+	pangenome_0002_length_4798660	72390	72941	100.00	S_Agona_SL483	0,0	holo-ACP synthase CitX
SeAg_B0070	CP001138	72919	73827	+	pangenome_0002_length_4798660	72919	73827	100.00	S_Agona_SL483	0,0	triphosphoribosyl-dephospho-CoA synthase CitG
SeAg_B0071	CP001138	74007	74828	+	pangenome_0002_length_4798660	74007	74828	100.00	S_Agona_SL483	0,0	dihydrodipicolinate reductase
SeAg_B0072	CP001138	75287	75478	-	pangenome_0002_length_4798660	75287	75478	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0073	CP001138	75692	76840	+	pangenome_0002_length_4798660	75692	76840	100.00	S_Agona_SL483	0,0	carbamoyl-phosphate synthase, small subunit
SeAg_B0074	CP001138	76859	80086	+	pangenome_0002_length_4798660	76859	80086	100.00	S_Agona_SL483	0,0	carbamoyl-phosphate synthase, large subunit
SeAg_B0076	CP001138	80832	81428	-	pangenome_0002_length_4798660	80832	81428	100.00	S_Agona_SL483	0,0	carnitine operon protein CaiE
SeAg_B0077	CP001138	81538	82323	-	pangenome_0002_length_4798660	81538	82323	100.00	S_Agona_SL483	0,0	carnitinyl-CoA dehydratase
SeAg_B0078	CP001138	82377	83930	-	pangenome_0002_length_4798660	82377	83930	100.00	S_Agona_SL483	0,0	probable crotonobetaine/carnitine-CoA ligase
SeAg_B0079	CP001138	83993	85213	-	pangenome_0002_length_4798660	83993	85213	100.00	S_Agona_SL483	0,0	crotonobetainyl-CoA:carnitine CoA-transferase
SeAg_B0080	CP001138	85322	86464	-	pangenome_0002_length_4798660	85322	86464	100.00	S_Agona_SL483	0,0	crotonobetainyl-CoA dehydrogenase
SeAg_B0081	CP001138	86499	88016	-	pangenome_0002_length_4798660	86499	88016	100.00	S_Agona_SL483	0,0	L-carnitine/gamma-butyrobetaine antiporter
SeAg_B0082	CP001138	88158	88274	+	pangenome_0002_length_4798660	88158	88274	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0083	CP001138	88244	88429	+	pangenome_0002_length_4798660	88244	88429	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0084	CP001138	88497	89267	+	pangenome_0002_length_4798660	88497	89267	100.00	S_Agona_SL483	0,0	protein FixA
SeAg_B0085	CP001138	89283	90224	+	pangenome_0002_length_4798660	89283	90224	100.00	S_Agona_SL483	0,0	electron transfer flavoprotein, alpha subunit
SeAg_B0086	CP001138	90274	91560	+	pangenome_0002_length_4798660	90274	91560	100.00	S_Agona_SL483	0,0	protein FixC
SeAg_B0087	CP001138	91557	91844	+	pangenome_0002_length_4798660	91557	91844	100.00	S_Agona_SL483	0,0	ferredoxin-like protein ydiT
SeAg_B0088	CP001138	91925	93331	+	pangenome_0002_length_4798660	91925	93331	100.00	S_Agona_SL483	0,0	putative metabolite transport protein YaaU
SeAg_B0089	CP001138	93420	93650	+	pangenome_0002_length_4798660	93420	93650	100.00	S_Agona_SL483	0,0	conserved domain protein
SeAg_B0090	CP001138	93936	94358	+	pangenome_0002_length_4798660	93936	94358	100.00	S_Agona_SL483	0,0	probable secreted protein
SeAg_B0091	CP001138	94362	94478	-	pangenome_0002_length_4798660	94362	94478	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0092	CP001138	94582	94872	-	pangenome_0002_length_4798660	94582	94872	100.00	S_Agona_SL483	0,0	probable secreted protein
SeAg_B0093	CP001138	95769	97658	+	pangenome_0002_length_4798660	95769	97658	100.00	S_Agona_SL483	0,0	sulfatase
SeAg_B0094	CP001138	98212	98742	+	pangenome_0002_length_4798660	98212	98742	100.00	S_Agona_SL483	0,0	glutathione-regulated potassium-efflux system ancillary protein kefF
SeAg_B0095	CP001138	98735	100597	+	pangenome_0002_length_4798660	98735	100597	100.00	S_Agona_SL483	0,0	glutathione-regulated potassium-efflux system protein KefC
SeAg_B0096	CP001138	100796	101275	+	pangenome_0002_length_4798660	100796	101275	100.00	S_Agona_SL483	0,0	dihydrofolate reductase
SeAg_B0097	CP001138	101381	102229	-	pangenome_0002_length_4798660	101381	102229	100.00	S_Agona_SL483	0,0	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
SeAg_B0098	CP001138	102240	102617	-	pangenome_0002_length_4798660	102240	102617	100.00	S_Agona_SL483	0,0	protein ApaG
SeAg_B0099	CP001138	102620	103441	-	pangenome_0002_length_4798660	102620	103441	100.00	S_Agona_SL483	0,0	dimethyladenosine transferase
SeAg_B0100	CP001138	103438	104427	-	pangenome_0002_length_4798660	103438	104427	100.00	S_Agona_SL483	0,0	4-hydroxythreonine-4-phosphate dehydrogenase
SeAg_B0101	CP001138	104427	105713	-	pangenome_0002_length_4798660	104427	105713	100.00	S_Agona_SL483	0,0	chaperone/peptidyl-prolyl cis-trans isomerase SurA
SeAg_B0102	CP001138	105767	108127	-	pangenome_0002_length_4798660	105767	108127	100.00	S_Agona_SL483	0,0	LPS-assembly protein
SeAg_B0103	CP001138	108137	108298	-	pangenome_0002_length_4798660	108137	108298	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0104	CP001138	108381	109193	+	pangenome_0002_length_4798660	108381	109193	100.00	S_Agona_SL483	0,0	DnaJ domain protein
SeAg_B0105	CP001138	109288	109947	-	pangenome_0002_length_4798660	109288	109947	100.00	S_Agona_SL483	0,0	pseudouridine synthase, RluA family
SeAg_B0106	CP001138	109959	112865	-	pangenome_0002_length_4798660	109959	112865	100.00	S_Agona_SL483	0,0	RNA polymerase associated protein RapA
SeAg_B0108	CP001138	115435	115665	-	pangenome_0002_length_4798660	115435	115665	100.00	S_Agona_SL483	0,0	putative secreted protein
SeAg_B0110	CP001138	117469	117966	-	pangenome_0002_length_4798660	117469	117966	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0111	CP001138	118391	118810	+	pangenome_0002_length_4798660	118391	118810	100.00	S_Agona_SL483	0,0	putative cytoplasmic protein
SeAg_B0112	CP001138	118816	119511	-	pangenome_0002_length_4798660	118816	119511	100.00	S_Agona_SL483	0,0	L-ribulose-5-phosphate 4-epimerase
SeAg_B0113	CP001138	119652	121154	-	pangenome_0002_length_4798660	119652	121154	100.00	S_Agona_SL483	0,0	L-arabinose isomerase
SeAg_B0114	CP001138	121165	122874	-	pangenome_0002_length_4798660	121165	122874	100.00	S_Agona_SL483	0,0	L-ribulokinase
SeAg_B0115	CP001138	123215	124060	+	pangenome_0002_length_4798660	123215	124060	100.00	S_Agona_SL483	0,0	arabinose operon regulatory protein
SeAg_B0116	CP001138	124179	124946	+	pangenome_0002_length_4798660	124179	124946	100.00	S_Agona_SL483	0,0	inner membrane protein YabI
SeAg_B0117	CP001138	124985	125692	-	pangenome_0002_length_4798660	124985	125692	100.00	S_Agona_SL483	0,0	thiamine ABC transporter, ATP-binding protein
SeAg_B0118	CP001138	125676	127286	-	pangenome_0002_length_4798660	125676	127286	100.00	S_Agona_SL483	0,0	thiamine/thiamine pyrophosphate ABC transporter, permease protein
SeAg_B0119	CP001138	127262	128245	-	pangenome_0002_length_4798660	127262	128245	100.00	S_Agona_SL483	0,0	thiamin/thiamin pyrophosphate ABC transporter, periplasmic thiamin/thiamin pyrophospate-binding protein
SeAg_B0121	CP001138	128290	128409	-	pangenome_0002_length_4798660	128290	128409	100.00	S_Agona_SL483	0,0	putative lipoprotein
SeAg_B0122	CP001138	128423	130081	-	pangenome_0002_length_4798660	128423	130081	100.00	S_Agona_SL483	0,0	sugar transport-related sRNA regulator SgrR
SeAg_B0125	CP001138	130498	130611	+	pangenome_0002_length_4798660	130498	130611	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0126	CP001138	130632	131237	-	pangenome_0002_length_4798660	130632	131237	100.00	S_Agona_SL483	0,0	3-isopropylmalate dehydratase, small subunit
SeAg_B0127	CP001138	131248	132648	-	pangenome_0002_length_4798660	131248	132648	100.00	S_Agona_SL483	0,0	3-isopropylmalate dehydratase, large subunit
SeAg_B0128	CP001138	132651	133742	-	pangenome_0002_length_4798660	132651	133742	100.00	S_Agona_SL483	0,0	3-isopropylmalate dehydrogenase
SeAg_B0129	CP001138	133742	135313	-	pangenome_0002_length_4798660	133742	135313	100.00	S_Agona_SL483	0,0	2-isopropylmalate synthase
SeAg_B0131	CP001138	136063	137088	+	pangenome_0002_length_4798660	136063	137088	100.00	S_Agona_SL483	0,0	probable HTH-type transcriptional regulator LeuO
SeAg_B0132	CP001138	137380	139134	+	pangenome_0002_length_4798660	137380	139134	100.00	S_Agona_SL483	0,0	acetolactate synthase, large subunit, biosynthetic type
SeAg_B0133	CP001138	139134	139628	+	pangenome_0002_length_4798660	139134	139628	100.00	S_Agona_SL483	0,0	acetolactate synthase, small subunit, isozyme III
SeAg_B0134	CP001138	139618	139740	-	pangenome_0002_length_4798660	139618	139740	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0135	CP001138	139912	140916	+	pangenome_0002_length_4798660	139912	140916	100.00	S_Agona_SL483	0,0	fructose repressor
SeAg_B0136	CP001138	141522	141980	+	pangenome_0002_length_4798660	141522	141980	100.00	S_Agona_SL483	0,0	mraZ protein
SeAg_B0137	CP001138	141982	142923	+	pangenome_0002_length_4798660	141982	142923	100.00	S_Agona_SL483	0,0	S-adenosyl-methyltransferase MraW
SeAg_B0138	CP001138	142920	143285	+	pangenome_0002_length_4798660	142920	143285	100.00	S_Agona_SL483	0,0	cell division protein FtsL
SeAg_B0139	CP001138	143301	145067	+	pangenome_0002_length_4798660	143301	145067	100.00	S_Agona_SL483	0,0	peptidoglycan synthetase FtsI
SeAg_B0140	CP001138	145054	146541	+	pangenome_0002_length_4798660	145054	146541	100.00	S_Agona_SL483	0,0	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase
SeAg_B0141	CP001138	146538	147896	+	pangenome_0002_length_4798660	146538	147896	100.00	S_Agona_SL483	0,0	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
SeAg_B0142	CP001138	147890	148972	+	pangenome_0002_length_4798660	147890	148972	100.00	S_Agona_SL483	0,0	phospho-N-acetylmuramoyl-pentapeptide- transferase
SeAg_B0143	CP001138	148975	150291	+	pangenome_0002_length_4798660	148975	150291	100.00	S_Agona_SL483	0,0	UDP-N-acetylmuramoylalanine--D-glutamate ligase
SeAg_B0144	CP001138	150291	151535	+	pangenome_0002_length_4798660	150291	151535	100.00	S_Agona_SL483	0,0	cell division protein FtsW
SeAg_B0145	CP001138	151532	152599	+	pangenome_0002_length_4798660	151532	152599	100.00	S_Agona_SL483	0,0	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
SeAg_B0146	CP001138	152718	154193	+	pangenome_0002_length_4798660	152718	154193	100.00	S_Agona_SL483	0,0	UDP-N-acetylmuramate--alanine ligase
SeAg_B0147	CP001138	154186	155106	+	pangenome_0002_length_4798660	154186	155106	100.00	S_Agona_SL483	0,0	D-alanine--D-alanine ligase B
